customer_id,name,gender,date_of_birth,age,marital_status,education_level,occupation,income,region,join_date,email,phone
26,Zaw Zaw,Male,1987-05-06,38,Single,Bachelor,Fisherman,1381539.24,Bago,2022-04-17,zaw.zaw@gmail.com,959321709106
27,Zaw Htun,Male,1946-05-15,79,Married,Primary,Farmer,4340286.38,Mandalay,2020-12-26,zaw.htun@gmail.com,959609080789
28,Nilar Aung,Other,1949-09-21,76,Widowed,Middle School,Fisherman,921865.69,Sittwe,2017-01-06,nilar.aung@gmail.com,959994460335
29,Phyu Kyaw,Other,1965-07-15,60,Widowed,PhD,Doctor,1194926.6,Mandalay,2019-03-27,phyu.kyaw@gmail.com,959163331824
30,Yin Zaw,Other,2003-09-10,22,Widowed,Diploma,Driver,4360032.72,Yangon,2016-07-12,yin.zaw@gmail.com,959799760377
31,Hla Htun,Other,1955-05-14,70,Widowed,Master,Engineer,4062784.8,Mandalay,2023-07-25,hla.htun@gmail.com,959579011369
32,Kyaw Kyaw,Male,1950-07-26,75,Widowed,Middle School,Doctor,1162393.77,Myitkyina,2021-06-13,kyaw.kyaw@gmail.com,959355907322
33,Zaw Lin,Male,1996-04-12,29,Single,Primary,Bank Employee,4996627.6,Yangon,2024-08-03,zaw.lin@gmail.com,959701683383
34,Kyaw Oo,Male,1958-08-20,67,Widowed,Diploma,Driver,1304612.31,Monywa,2016-11-13,kyaw.oo@gmail.com,959141466408
35,Htun Moe,Male,1947-10-17,78,Single,Diploma,Merchant,4654634.95,Myitkyina,2019-06-05,htun.moe@gmail.com,959234227953
36,Yin Hlaing,Female,1947-11-25,78,Widowed,Middle School,Business Owner,1694526.78,Yangon,2023-11-16,yin.hlaing@gmail.com,959223685906
37,Thet Htun,Other,1980-11-08,45,Divorced,Primary,Farmer,3045634.69,Pathein,2024-05-01,thet.htun@gmail.com,959223440349
38,Khin Htun,Other,1995-03-15,30,Single,PhD,Government Employee,622050.26,Mandalay,2023-09-23,khin.htun@gmail.com,959691788042
39,Nilar Moe,Other,1990-06-09,35,Single,Bachelor,Business Owner,3020919.57,Yangon,2024-10-31,nilar.moe@gmail.com,959675572348
40,Hla Moe,Other,1971-05-19,54,Divorced,High School,Business Owner,3447712.08,Taunggyi,2015-05-03,hla.moe@gmail.com,959429212323
41,Min Moe,Male,1946-06-15,79,Married,Master,Bank Employee,1709986.28,Taunggyi,2016-08-08,min.moe@gmail.com,959388943410
42,Aung Lin,Male,2004-05-15,21,Single,Primary,Fisherman,1301825.27,Mawlamyine,2018-11-18,aung.lin@gmail.com,959374107859
43,Myo Win,Male,1975-11-17,50,Married,High School,Merchant,1041410.11,Pathein,2019-09-07,myo.win@gmail.com,959171021174
44,Thandar Myint,Other,1976-08-08,49,Single,Master,Fisherman,1707080.14,Mandalay,2024-05-27,thandar.myint@gmail.com,959664570013
45,Min Win,Male,1948-02-26,77,Single,Master,Fisherman,1030605.18,Mawlamyine,2015-12-05,min.win@gmail.com,959888565748
46,Nilar Zaw,Other,2004-07-17,21,Married,Master,Bank Employee,4308690.23,Pathein,2015-12-07,nilar.zaw@gmail.com,959803072650
47,Thandar Htun,Female,1993-01-14,32,Single,Master,Doctor,4197936.02,Yangon,2015-11-25,thandar.htun@gmail.com,959985367474
48,Myo Oo,Male,1958-07-06,67,Divorced,Middle School,Tour Guide,2376626.91,Monywa,2021-08-04,myo.oo@gmail.com,959774845237
49,Su Win,Other,1983-12-29,42,Single,Master,Government Employee,2864274.36,Taunggyi,2015-06-01,su.win@gmail.com,959176719312
50,Thet Oo,Other,1962-06-16,63,Widowed,Middle School,Farmer,1748814.24,Yangon,2021-05-10,thet.oo@gmail.com,959184460092
51,Nilar Kyaw,Female,1946-09-02,79,Single,High School,Fisherman,4455433.1,Monywa,2024-11-06,nilar.kyaw@gmail.com,959549428887
52,Khin Kyaw,Other,2000-04-18,25,Married,PhD,Government Employee,4442656.16,Yangon,2016-05-27,khin.kyaw@gmail.com,959965863202
53,Myo Moe,Male,1999-10-19,26,Married,High School,Government Employee,4000660.19,Mandalay,2016-02-09,myo.moe@gmail.com,959196012607
54,Su Lin,Female,1976-09-18,49,Married,Middle School,Driver,1943394.59,Bago,2025-01-08,su.lin@gmail.com,959195900118
55,Aung Kyaw,Male,1954-10-22,71,Widowed,High School,Merchant,4362458.83,Mawlamyine,2022-08-28,aung.kyaw@gmail.com,959110791142
56,Thet Moe,Female,2001-02-08,24,Divorced,Primary,Teacher,4422080.53,Mawlamyine,2018-08-17,thet.moe@gmail.com,959321422184
57,Naing Aung,Male,1961-03-17,64,Single,Primary,Construction Worker,2342449.67,Taunggyi,2020-03-14,naing.aung@gmail.com,959913272740
58,Nu Hlaing,Female,1946-06-24,79,Single,Diploma,Construction Worker,1193370.24,Yangon,2017-07-03,nu.hlaing@gmail.com,959860824128
59,Yin Htun,Other,2000-02-14,25,Married,High School,Doctor,628876.91,Taunggyi,2023-04-28,yin.htun@gmail.com,959790527065
60,May Win,Other,1998-06-21,27,Divorced,Bachelor,Merchant,3434396.65,Taunggyi,2023-02-03,may.win@gmail.com,959448814985
61,Thandar Hlaing,Female,1984-11-20,41,Married,Middle School,Doctor,3425168.34,Monywa,2022-10-30,thandar.hlaing@gmail.com,959924766848
62,Khin Myint,Other,1991-11-20,34,Divorced,Diploma,Fisherman,4218508.3,Mawlamyine,2021-08-16,khin.myint@gmail.com,959861014483
63,Nilar Moe,Female,1968-08-30,57,Divorced,Diploma,Driver,2378151.06,Bago,2020-01-31,nilar.moe@gmail.com,959990583402
64,Phyu Oo,Other,1985-05-28,40,Single,High School,Fisherman,3420113.03,Sittwe,2015-04-21,phyu.oo@gmail.com,959600139302
65,Hla Kyaw,Female,1957-03-22,68,Divorced,Middle School,Business Owner,992563.62,Yangon,2021-10-07,hla.kyaw@gmail.com,959326145842
66,Win Myint,Male,1983-10-20,42,Single,Diploma,Doctor,4464843.47,Sittwe,2022-05-19,win.myint@gmail.com,959640343801
67,Thura Lin,Male,1998-10-18,27,Widowed,Middle School,Government Employee,3383472.65,Yangon,2022-12-17,thura.lin@gmail.com,959326351069
68,Thura Kyaw,Male,1972-07-15,53,Married,PhD,Tour Guide,2734401.43,Yangon,2022-12-04,thura.kyaw@gmail.com,959644626784
69,Nilar Win,Other,2004-02-17,21,Widowed,Middle School,Driver,3437615.34,Pathein,2019-02-16,nilar.win@gmail.com,959943203694
70,May Lin,Other,1967-05-31,58,Widowed,PhD,Fisherman,2395793.98,Naypyidaw,2022-12-05,may.lin@gmail.com,959488769943
71,Phyu Lin,Other,1959-12-28,66,Divorced,PhD,Business Owner,4247355.57,Mawlamyine,2020-08-13,phyu.lin@gmail.com,959690585007
72,Phyu Kyaw,Other,1958-11-27,67,Divorced,Diploma,Teacher,3653660.85,Bago,2017-11-15,phyu.kyaw@gmail.com,959822126154
73,May Zaw,Female,2004-02-09,21,Single,Middle School,Government Employee,1386928.95,Naypyidaw,2024-09-20,may.zaw@gmail.com,959519615653
74,Nilar Win,Other,1960-03-31,65,Widowed,Diploma,Engineer,2850272.36,Monywa,2024-10-11,nilar.win@gmail.com,959308582702
75,Kyaw Moe,Male,1973-12-12,52,Widowed,PhD,Construction Worker,4746491.56,Yangon,2018-01-10,kyaw.moe@gmail.com,959160199540
76,Yin Lin,Other,2006-11-16,19,Single,High School,Merchant,3841333.09,Monywa,2018-01-28,yin.lin@gmail.com,959171694830
77,Thet Myint,Other,1967-03-08,58,Married,Diploma,Business Owner,1582795.97,Myitkyina,2016-05-12,thet.myint@gmail.com,959195775258
78,Thura Zaw,Male,2002-10-10,23,Widowed,Master,Government Employee,4250376.62,Naypyidaw,2020-01-10,thura.zaw@gmail.com,959857500688
79,Thet Htun,Other,1984-05-14,41,Widowed,Bachelor,Construction Worker,3416098.86,Mandalay,2021-01-29,thet.htun@gmail.com,959989336021
80,Yin Oo,Other,1990-01-24,35,Widowed,Middle School,Farmer,1522734.68,Taunggyi,2019-04-24,yin.oo@gmail.com,959156401618
81,Win Zaw,Male,1966-03-20,59,Divorced,PhD,Doctor,1607806.09,Monywa,2021-02-18,win.zaw@gmail.com,959469927806
82,Hla Lin,Female,1955-12-03,70,Single,Master,Fisherman,544802.36,Taunggyi,2023-06-16,hla.lin@gmail.com,959368151593
83,Zaw Htun,Male,2003-02-20,22,Single,Middle School,Business Owner,4244375.58,Sittwe,2023-12-02,zaw.htun@gmail.com,959881963763
84,Kyaw Oo,Male,2005-08-06,20,Widowed,Master,Teacher,2950657.04,Bago,2020-05-10,kyaw.oo@gmail.com,959308628562
85,Thandar Zaw,Female,1976-04-10,49,Married,Bachelor,Construction Worker,4829553.3,Mandalay,2020-12-22,thandar.zaw@gmail.com,959721164600
86,Min Win,Male,1977-02-21,48,Single,High School,Construction Worker,3483532.25,Monywa,2017-03-24,min.win@gmail.com,959159751627
87,Nilar Win,Female,1970-06-03,55,Married,Primary,Tour Guide,3930660.16,Sittwe,2025-01-05,nilar.win@gmail.com,959559362874
88,Naing Htun,Male,1948-04-28,77,Divorced,Bachelor,Doctor,3409150.3,Mandalay,2022-05-07,naing.htun@gmail.com,959593014206
89,May Htun,Other,1992-03-30,33,Widowed,PhD,Driver,796032.69,Taunggyi,2022-07-02,may.htun@gmail.com,959118426186
90,Phyu Oo,Other,1966-03-15,59,Widowed,Middle School,Tour Guide,2752209.71,Mawlamyine,2018-02-08,phyu.oo@gmail.com,959444398824
91,Thet Lin,Other,1987-12-16,38,Widowed,Diploma,Tour Guide,3084630.71,Taunggyi,2021-11-05,thet.lin@gmail.com,959116661688
92,Zaw Aung,Male,1958-09-10,67,Widowed,Middle School,Driver,2978293.33,Monywa,2017-05-05,zaw.aung@gmail.com,959714090143
93,Su Lin,Female,1957-12-17,68,Divorced,Middle School,Driver,1296963.3,Mawlamyine,2015-11-01,su.lin@gmail.com,959137957775
94,Thandar Myint,Female,1945-06-17,80,Divorced,Bachelor,Farmer,2728148.08,Bago,2025-03-16,thandar.myint@gmail.com,959324011728
95,Kyaw Moe,Male,2000-04-21,25,Widowed,Bachelor,Business Owner,3545863.9,Myitkyina,2024-05-25,kyaw.moe@gmail.com,959751753986
96,Su Win,Female,1979-09-24,46,Divorced,Middle School,Doctor,3551399.63,Mawlamyine,2021-10-22,su.win@gmail.com,959495674509
97,Nu Zaw,Other,1975-06-28,50,Widowed,Bachelor,Fisherman,1915659.75,Pathein,2019-10-29,nu.zaw@gmail.com,959720514642
98,May Lin,Female,1967-12-31,58,Divorced,High School,Merchant,1383528.79,Bago,2020-06-18,may.lin@gmail.com,959404879699
99,Hla Hlaing,Female,1962-07-03,63,Married,Middle School,Business Owner,3771441.87,Mawlamyine,2021-09-22,hla.hlaing@gmail.com,959328418516
100,Nu Hlaing,Other,1976-07-14,49,Divorced,Primary,Business Owner,1692358.38,Taunggyi,2023-03-08,nu.hlaing@gmail.com,959989076124
101,Min Htun,Male,1995-02-24,30,Married,High School,Farmer,4879186.18,Pathein,2017-10-09,min.htun@gmail.com,959340170967
102,Khin Lin,Female,1957-04-28,68,Single,PhD,Farmer,2998101.83,Myitkyina,2019-07-26,khin.lin@gmail.com,959929219441
103,Phyu Zaw,Female,1972-12-22,53,Married,Primary,Merchant,4722998.9,Myitkyina,2023-07-22,phyu.zaw@gmail.com,959529044969
104,Zaw Moe,Male,1996-01-26,29,Widowed,Primary,Construction Worker,3258394.82,Yangon,2019-07-03,zaw.moe@gmail.com,959956230115
105,Htun Myint,Male,1966-07-14,59,Divorced,Primary,Business Owner,856722.34,Monywa,2018-01-02,htun.myint@gmail.com,959549809278
106,Nu Myint,Other,1959-06-16,66,Married,PhD,Fisherman,2087776.72,Myitkyina,2021-11-20,nu.myint@gmail.com,959644539560
107,Nu Moe,Female,1947-02-12,78,Divorced,Bachelor,Construction Worker,583082.43,Mandalay,2017-11-03,nu.moe@gmail.com,959759985022
108,Kyaw Aung,Male,1969-11-03,56,Single,Middle School,Business Owner,1116923.68,Mandalay,2023-06-26,kyaw.aung@gmail.com,959314590816
109,Aung Moe,Male,1972-11-13,53,Widowed,Master,Construction Worker,2508588.65,Yangon,2015-10-01,aung.moe@gmail.com,959780366731
110,Min Aung,Male,1956-06-02,69,Widowed,Primary,Bank Employee,1397091.89,Mawlamyine,2020-11-09,min.aung@gmail.com,959169699743
111,Nu Kyaw,Other,2005-02-23,20,Widowed,Primary,Fisherman,1356604.42,Naypyidaw,2018-08-24,nu.kyaw@gmail.com,959176067620
112,Khin Win,Female,1961-12-11,64,Single,Middle School,Merchant,3096706.98,Sittwe,2018-09-10,khin.win@gmail.com,959603155029
113,Phyu Win,Female,1946-05-26,79,Widowed,Master,Merchant,3588748.32,Mawlamyine,2025-03-19,phyu.win@gmail.com,959351657564
114,Thet Lin,Other,1961-06-18,64,Widowed,Primary,Construction Worker,487345.69,Monywa,2020-08-01,thet.lin@gmail.com,959557518125
115,May Myint,Other,1974-04-27,51,Divorced,Primary,Teacher,1375944.75,Sittwe,2016-07-31,may.myint@gmail.com,959316787035
116,Su Aung,Other,2006-12-10,19,Single,PhD,Government Employee,2511353.87,Myitkyina,2022-04-26,su.aung@gmail.com,959949576913
117,Khin Myint,Female,2002-02-26,23,Widowed,Master,Driver,4854559.61,Myitkyina,2022-08-26,khin.myint@gmail.com,959476683077
118,Yin Zaw,Female,2005-03-05,20,Divorced,Master,Teacher,4331345.54,Taunggyi,2017-04-09,yin.zaw@gmail.com,959729243634
119,Phyu Aung,Female,1993-11-27,32,Widowed,PhD,Fisherman,472476.51,Mandalay,2021-09-29,phyu.aung@gmail.com,959409719733
120,Thandar Zaw,Female,1967-01-26,58,Single,PhD,Doctor,4365079.75,Yangon,2017-10-26,thandar.zaw@gmail.com,959146227689
121,Thet Lin,Other,1958-05-29,67,Widowed,Primary,Business Owner,2736665.14,Sittwe,2022-09-09,thet.lin@gmail.com,959641952668
122,Phyu Htun,Female,1996-05-18,29,Married,High School,Fisherman,915762.18,Mawlamyine,2019-04-18,phyu.htun@gmail.com,959843267621
123,Phyu Win,Female,1965-05-11,60,Single,Master,Construction Worker,4056774.55,Naypyidaw,2020-05-13,phyu.win@gmail.com,959917510825
124,Thet Htun,Female,1972-12-21,53,Widowed,Primary,Business Owner,4963608.56,Mandalay,2022-02-08,thet.htun@gmail.com,959144189612
125,Hla Oo,Female,1996-05-11,29,Widowed,Master,Merchant,2691698.47,Mawlamyine,2024-05-10,hla.oo@gmail.com,959714132061
126,Phyu Lin,Female,1949-01-16,76,Married,Diploma,Fisherman,979817.25,Bago,2017-06-27,phyu.lin@gmail.com,959466833490
127,Thet Oo,Other,1994-10-15,31,Single,High School,Doctor,1897413.64,Pathein,2018-05-03,thet.oo@gmail.com,959315842116
128,Su Aung,Female,1974-06-11,51,Divorced,PhD,Construction Worker,3025639.9,Myitkyina,2019-10-04,su.aung@gmail.com,959843468150
129,Win Hlaing,Male,1973-08-16,52,Widowed,High School,Engineer,2894011.86,Pathein,2021-06-25,win.hlaing@gmail.com,959832645150
130,Phyu Zaw,Female,1984-09-29,41,Married,Master,Business Owner,2987448.92,Bago,2024-06-20,phyu.zaw@gmail.com,959487496564
131,Su Zaw,Female,1978-07-03,47,Widowed,Master,Doctor,2114570.14,Naypyidaw,2021-01-15,su.zaw@gmail.com,959874809493
132,Su Oo,Female,1997-10-09,28,Divorced,PhD,Teacher,4408694.76,Myitkyina,2018-06-10,su.oo@gmail.com,959959632885
133,Yan Lin,Male,1975-12-20,50,Single,Master,Government Employee,2226899.51,Naypyidaw,2023-10-03,yan.lin@gmail.com,959170777499
134,Win Aung,Male,2002-03-07,23,Divorced,Bachelor,Tour Guide,2168171.62,Mandalay,2022-06-21,win.aung@gmail.com,959686568445
135,Thet Moe,Female,1964-11-27,61,Divorced,Master,Tour Guide,4470961.81,Myitkyina,2024-05-31,thet.moe@gmail.com,959964668965
136,Su Myint,Other,1977-08-04,48,Single,Middle School,Bank Employee,3516678.0,Mawlamyine,2023-01-22,su.myint@gmail.com,959337376033
137,Zaw Moe,Male,1960-08-19,65,Single,PhD,Bank Employee,3608286.9,Mandalay,2022-06-02,zaw.moe@gmail.com,959723192966
138,Khin Aung,Female,1962-04-19,63,Single,Primary,Engineer,4041874.29,Mawlamyine,2024-01-01,khin.aung@gmail.com,959827433556
139,May Moe,Female,2004-01-24,21,Married,Middle School,Fisherman,2236643.22,Naypyidaw,2022-06-08,may.moe@gmail.com,959600200560
140,Htun Win,Male,1946-09-30,79,Widowed,Bachelor,Bank Employee,1431900.02,Sittwe,2021-04-19,htun.win@gmail.com,959184945580
141,Kyaw Lin,Male,1946-10-29,79,Divorced,Diploma,Merchant,3434151.37,Myitkyina,2017-02-06,kyaw.lin@gmail.com,959617941499
142,Thet Oo,Female,1990-01-06,35,Single,Diploma,Engineer,4941962.97,Mawlamyine,2018-06-03,thet.oo@gmail.com,959639916309
143,Yin Aung,Other,1972-02-05,53,Widowed,PhD,Merchant,1236319.9,Monywa,2020-10-22,yin.aung@gmail.com,959615183377
144,Hla Kyaw,Female,1984-05-03,41,Widowed,Bachelor,Engineer,3001616.07,Mawlamyine,2020-05-20,hla.kyaw@gmail.com,959538245722
145,Thura Aung,Male,1958-12-25,67,Single,Bachelor,Bank Employee,3958064.59,Yangon,2015-12-30,thura.aung@gmail.com,959220108506
146,Phyu Aung,Other,1979-09-14,46,Married,Bachelor,Engineer,1329321.33,Bago,2023-04-06,phyu.aung@gmail.com,959426040481
147,Thandar Oo,Other,1994-10-17,31,Single,Master,Bank Employee,485286.1,Myitkyina,2020-12-13,thandar.oo@gmail.com,959778178722
148,Naing Zaw,Male,1972-06-26,53,Married,Primary,Merchant,1835579.89,Monywa,2020-03-11,naing.zaw@gmail.com,959759688996
149,Kyaw Oo,Male,1994-06-08,31,Divorced,Bachelor,Fisherman,4593388.78,Naypyidaw,2019-02-24,kyaw.oo@gmail.com,959191462804
150,Phyu Aung,Female,1956-02-11,69,Divorced,PhD,Teacher,2501157.53,Mandalay,2022-04-24,phyu.aung@gmail.com,959176020302
151,Kyaw Moe,Male,1988-06-02,37,Divorced,Primary,Doctor,365417.68,Pathein,2023-08-12,kyaw.moe@gmail.com,959476491616
152,Win Zaw,Male,1990-11-25,35,Divorced,Bachelor,Doctor,4165361.32,Taunggyi,2020-05-22,win.zaw@gmail.com,959417413069
153,Kyaw Lin,Male,1950-02-07,75,Single,Bachelor,Fisherman,1841629.52,Sittwe,2021-05-02,kyaw.lin@gmail.com,959311255830
154,Zaw Lin,Male,1999-03-06,26,Divorced,Master,Doctor,848376.9,Yangon,2015-06-24,zaw.lin@gmail.com,959201652033
155,Min Lin,Male,1963-10-10,62,Single,Primary,Business Owner,4470118.75,Naypyidaw,2022-04-22,min.lin@gmail.com,959993013730
156,Phyu Zaw,Female,1988-05-03,37,Widowed,Bachelor,Tour Guide,3715016.01,Monywa,2023-02-22,phyu.zaw@gmail.com,959274143034
157,Hla Lin,Other,1957-12-19,68,Widowed,High School,Farmer,3544319.12,Bago,2016-10-20,hla.lin@gmail.com,959581337682
158,Phyu Kyaw,Female,1992-08-25,33,Divorced,Primary,Bank Employee,2026474.3,Taunggyi,2020-04-28,phyu.kyaw@gmail.com,959449101020
159,Thura Aung,Male,2005-08-24,20,Married,Primary,Driver,730865.09,Bago,2016-08-25,thura.aung@gmail.com,959400079343
160,Nu Htun,Other,1947-04-27,78,Single,PhD,Engineer,1444773.82,Naypyidaw,2020-01-17,nu.htun@gmail.com,959883098193
161,Nilar Win,Other,1982-04-27,43,Married,Bachelor,Business Owner,4121349.01,Bago,2019-12-25,nilar.win@gmail.com,959621964573
162,Khin Myint,Female,2002-07-04,23,Single,High School,Government Employee,4941378.33,Pathein,2023-04-23,khin.myint@gmail.com,959104311583
163,Khin Win,Female,1956-07-26,69,Single,Middle School,Farmer,1983738.71,Bago,2020-11-18,khin.win@gmail.com,959233598473
164,May Htun,Other,1947-12-12,78,Married,High School,Farmer,895765.16,Monywa,2025-01-01,may.htun@gmail.com,959765049812
165,Hla Win,Other,2006-06-16,19,Widowed,Diploma,Engineer,2712218.4,Mandalay,2022-02-04,hla.win@gmail.com,959253082394
166,Thet Kyaw,Female,1982-11-03,43,Single,Master,Bank Employee,2750820.71,Myitkyina,2024-12-14,thet.kyaw@gmail.com,959526596702
167,Su Htun,Other,2005-10-14,20,Widowed,PhD,Doctor,2303486.01,Mandalay,2015-08-15,su.htun@gmail.com,959586799962
168,Phyu Win,Female,1984-01-16,41,Single,High School,Construction Worker,997168.98,Naypyidaw,2021-10-09,phyu.win@gmail.com,959417348727
169,Nu Myint,Female,1945-04-20,80,Divorced,Diploma,Construction Worker,2793617.14,Myitkyina,2020-02-13,nu.myint@gmail.com,959813617249
170,Nu Moe,Other,1995-05-22,30,Single,PhD,Tour Guide,837746.14,Pathein,2021-04-14,nu.moe@gmail.com,959366872076
171,Nilar Moe,Other,1965-12-15,60,Widowed,Middle School,Doctor,1892978.61,Myitkyina,2022-01-18,nilar.moe@gmail.com,959476322418
172,Yin Win,Female,1959-01-25,66,Divorced,Diploma,Engineer,3426006.96,Taunggyi,2016-07-28,yin.win@gmail.com,959447507484
173,Win Win,Male,1996-02-09,29,Single,PhD,Teacher,738181.48,Mandalay,2022-10-04,win.win@gmail.com,959134154252
174,May Oo,Other,1949-09-24,76,Single,Bachelor,Fisherman,2939911.89,Mandalay,2024-06-05,may.oo@gmail.com,959460732696
175,May Moe,Female,1995-07-28,30,Single,High School,Construction Worker,1768509.83,Mandalay,2019-08-13,may.moe@gmail.com,959652940908
176,Thet Kyaw,Other,1977-12-24,48,Married,Master,Driver,1353950.88,Mandalay,2015-08-02,thet.kyaw@gmail.com,959404212671
177,Thet Zaw,Female,2001-11-30,24,Single,PhD,Merchant,2998270.02,Monywa,2016-07-10,thet.zaw@gmail.com,959564925106
178,Nu Myint,Other,1965-02-19,60,Single,Bachelor,Bank Employee,4198465.71,Mawlamyine,2021-08-20,nu.myint@gmail.com,959964344345
179,Htun Aung,Male,1976-02-17,49,Divorced,High School,Engineer,328697.21,Naypyidaw,2015-04-25,htun.aung@gmail.com,959337562690
180,Yin Win,Other,1974-03-09,51,Married,Master,Bank Employee,4867508.5,Mandalay,2017-04-25,yin.win@gmail.com,959511400307
181,Thet Kyaw,Other,1958-03-04,67,Widowed,Diploma,Driver,1902211.11,Taunggyi,2020-04-13,thet.kyaw@gmail.com,959446428596
182,May Myint,Female,2004-04-02,21,Single,Primary,Government Employee,1039826.52,Sittwe,2021-04-04,may.myint@gmail.com,959841328932
183,Zaw Aung,Male,1991-11-24,34,Widowed,Master,Doctor,2582610.01,Myitkyina,2015-09-16,zaw.aung@gmail.com,959972371670
184,Thandar Kyaw,Female,1951-01-17,74,Single,High School,Doctor,821181.93,Sittwe,2015-10-04,thandar.kyaw@gmail.com,959552205522
185,Thet Aung,Female,1981-07-27,44,Single,Middle School,Doctor,4926894.59,Yangon,2019-03-23,thet.aung@gmail.com,959834278532
186,Kyaw Aung,Male,1957-05-19,68,Married,PhD,Government Employee,3891556.21,Mawlamyine,2017-09-30,kyaw.aung@gmail.com,959681134322
187,Hla Htun,Female,2004-10-24,21,Widowed,Master,Doctor,1125765.57,Monywa,2019-09-01,hla.htun@gmail.com,959284730159
188,Nilar Hlaing,Other,1964-10-04,61,Divorced,Primary,Doctor,4350292.5,Yangon,2016-03-12,nilar.hlaing@gmail.com,959918308051
189,Su Lin,Female,1964-01-02,61,Single,PhD,Engineer,3006068.06,Sittwe,2025-03-23,su.lin@gmail.com,959108913304
190,Yin Aung,Female,1966-12-09,59,Single,Diploma,Farmer,4841138.55,Naypyidaw,2018-07-22,yin.aung@gmail.com,959686385828
191,Phyu Zaw,Other,1952-09-25,73,Single,Diploma,Teacher,1443587.43,Sittwe,2016-08-20,phyu.zaw@gmail.com,959650834580
192,Thet Win,Female,2003-01-05,22,Widowed,PhD,Merchant,3805282.68,Bago,2017-11-27,thet.win@gmail.com,959697128368
193,Khin Win,Female,1975-11-16,50,Single,Bachelor,Fisherman,1211347.42,Taunggyi,2016-07-18,khin.win@gmail.com,959152558676
